datum__bin__date,energy__production__inverter,temperature__forecast__glen_Dforrest,rain__forecast__glen_Dforrest,humidity__forecast__glen_Dforrest,wind__forecast__glen_Dforrest,sun__outdoor__rise,sun__outdoor__set,sun__outdoor__azimuth,sun__outdoor__altitude,conditions__forecast__glen_Dforrest,energy__production_Dforecast_Ddaylight__inverter
24/09/2017,0,17,13,92,21,1506204150,1506247994,359,64,rain,0
24/09/2017,4742.9,17,13,92,21,1506204150,1506247994,359,64,rain,500
24/09/2017,10091.2,17,13,92,21,1506204150,1506247994,359,64,rain,1000
25/09/2017,0,18,10,90,26,1506290471,1506334432,359,64,rain,0
25/09/2017,6810.3,18,10,90,26,1506290471,1506334432,359,64,rain,500
25/09/2017,14490,18,10,90,26,1506290471,1506334432,359,64,rain,1000
26/09/2017,0,18,0,84,27,1506376792,1506420870,359,64,clear,0
26/09/2017,11584.7,18,0,84,27,1506376792,1506420870,359,64,clear,500
26/09/2017,24648.2,18,0,84,27,1506376792,1506420870,359,64,clear,1000
27/09/2017,0,17,13,89,21,1506463113,1506507308,359,64,rain,0
27/09/2017,8787,17,13,89,21,1506463113,1506507308,359,64,rain,500
27/09/2017,18695.8,17,13,89,21,1506463113,1506507308,359,64,rain,1000
28/09/2017,0,19,17,93,23,1506549435,1506593746,359,64,rain,0
28/09/2017,7902.6,19,17,93,23,1506549435,1506593746,359,64,rain,500
28/09/2017,16814.1,19,17,93,23,1506549435,1506593746,359,64,rain,1000
29/09/2017,0,22,0,84,24,1506635756,1506680185,359,64,clear,0
29/09/2017,11967.3,22,0,84,24,1506635756,1506680185,359,64,clear,500
29/09/2017,25462.3,22,0,84,24,1506635756,1506680185,359,64,clear,1000
30/09/2017,0,26,0,73,27,1506722078,1506766623,359,64,clear,0
30/09/2017,16737,26,0,73,27,1506722078,1506766623,359,64,clear,500
30/09/2017,35610.6,26,0,73,27,1506722078,1506766623,359,64,clear,1000
01/10/2017,0,26,0,73,27,1506808400,1506853062,359,64,clear,0
01/10/2017,15566.4,26,0,73,27,1506808400,1506853062,359,64,clear,500
01/10/2017,33119.9,26,0,73,27,1506808400,1506853062,359,64,clear,1000
02/10/2017,0,24,0,86,27,1506894723,1506939501,359,64,clear,0
02/10/2017,17268.6,24,0,86,27,1506894723,1506939501,359,64,clear,500
02/10/2017,36741.6,24,0,86,27,1506894723,1506939501,359,64,clear,1000
03/10/2017,0,21,0,64,31,1506981046,1507025941,359,64,clear,0
03/10/2017,13668.3,21,0,64,31,1506981046,1507025941,359,64,clear,500
03/10/2017,29081.5,21,0,64,31,1506981046,1507025941,359,64,clear,1000
04/10/2017,0,22,0,68,32,1506981046,1507025941,359,64,clear,0
04/10/2017,15811.7,22,0,68,32,1506981046,1507025941,359,64,clear,500
04/10/2017,33642,22,0,68,32,1506981046,1507025941,359,64,clear,1000
05/10/2017,0,22,0,63,32,1507153692,1507198821,359,64,clear,0
05/10/2017,17806.5,22,0,63,32,1507153692,1507198821,359,64,clear,500
05/10/2017,37886.2,22,0,63,32,1507153692,1507198821,359,64,clear,1000
06/10/2017,0,22,0,85,29,1507240016,1507285261,359,64,clear,0
06/10/2017,15362.1,22,0,85,29,1507240016,1507285261,359,64,clear,500
06/10/2017,32685.3,22,0,85,29,1507240016,1507285261,359,64,clear,1000
07/10/2017,0,19,1,84,26,1507326340,1507371702,359,64,rain,0
07/10/2017,8984.4,19,1,84,26,1507326340,1507371702,359,64,rain,500
07/10/2017,19115.8,19,1,84,26,1507326340,1507371702,359,64,rain,1000
