ID,Name,Domain,Group,Location,Topic,Metadata
anode__ada__carbon_Ddioxide__indoor__ada,Ada Carbon Dioxide,Carbon Dioxide,Indoor,Ada,haas/sensor/config/sensor/anode/anode__ada__carbon_Ddioxide__indoor__ada/config,"{""unit_of_measurement"": ""ppm"", ""qos"": 1, ""name"": ""Ada Carbon Dioxide"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__ada__carbon_Ddioxide__indoor__ada/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__ada__carbon_Ddioxide__indoor__ada""}"
anode__ada__health_Dindex__indoor__ada,Ada Health Index,Health Index,Indoor,Ada,haas/sensor/config/sensor/anode/anode__ada__health_Dindex__indoor__ada/config,"{""unit_of_measurement"": ""scalar"", ""qos"": 1, ""name"": ""Ada Health Index"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__ada__health_Dindex__indoor__ada/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__ada__health_Dindex__indoor__ada""}"
anode__ada__humidity__indoor__ada,Ada Humidity,Humidity,Indoor,Ada,haas/sensor/config/sensor/anode/anode__ada__humidity__indoor__ada/config,"{""unit_of_measurement"": ""%"", ""qos"": 1, ""name"": ""Ada Humidity"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__ada__humidity__indoor__ada/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__ada__humidity__indoor__ada""}"
anode__ada__noise__indoor__ada,Ada Noise,Noise,Indoor,Ada,haas/sensor/config/sensor/anode/anode__ada__noise__indoor__ada/config,"{""unit_of_measurement"": ""dB"", ""qos"": 1, ""name"": ""Ada Noise"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__ada__noise__indoor__ada/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__ada__noise__indoor__ada""}"
anode__ada__pressure_Dabsolute__indoor__ada,Ada Pressure Absolute,Pressure Absolute,Indoor,Ada,haas/sensor/config/sensor/anode/anode__ada__pressure_Dabsolute__indoor__ada/config,"{""unit_of_measurement"": ""mbar"", ""qos"": 1, ""name"": ""Ada Pressure Absolute"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__ada__pressure_Dabsolute__indoor__ada/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__ada__pressure_Dabsolute__indoor__ada""}"
anode__ada__pressure__indoor__ada,Ada Pressure,Pressure,Indoor,Ada,haas/sensor/config/sensor/anode/anode__ada__pressure__indoor__ada/config,"{""unit_of_measurement"": ""mbar"", ""qos"": 1, ""name"": ""Ada Pressure"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__ada__pressure__indoor__ada/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__ada__pressure__indoor__ada""}"
anode__ada__temperature__indoor__ada,Ada Temperature,Temperature,Indoor,Ada,haas/sensor/config/sensor/anode/anode__ada__temperature__indoor__ada/config,"{""unit_of_measurement"": ""°C"", ""qos"": 1, ""name"": ""Ada Temperature"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__ada__temperature__indoor__ada/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__ada__temperature__indoor__ada""}"
anode__altitude__sun__outdoor__home,Altitude Sun,Sun,Outdoor,Home,haas/sensor/config/sensor/anode/anode__altitude__sun__outdoor__home/config,"{""unit_of_measurement"": ""°"", ""qos"": 1, ""name"": ""Altitude Sun"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__altitude__sun__outdoor__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__altitude__sun__outdoor__home""}"
anode__azimuth__sun__outdoor__home,Azimuth Sun,Sun,Outdoor,Home,haas/sensor/config/sensor/anode/anode__azimuth__sun__outdoor__home/config,"{""unit_of_measurement"": ""°"", ""qos"": 1, ""name"": ""Azimuth Sun"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__azimuth__sun__outdoor__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__azimuth__sun__outdoor__home""}"
anode__base__cloud__outdoor__home,Base Cloud,Cloud,Outdoor,Home,haas/sensor/config/sensor/anode/anode__base__cloud__outdoor__home/config,"{""unit_of_measurement"": ""m"", ""qos"": 1, ""name"": ""Base Cloud"", ""value_template"": ""{{value_json.value}}"", ""state_topic"": ""haas/sensor/state/sensor/anode/anode__base__cloud__outdoor__home/state"", ""device"": {""sw_version"": ""1001"", ""name"": ""ANode"", ""identifiers"": ""C82A1455C70C"", ""connections"": [[""mac"", ""C8:2A:14:55:C7:0C""]], ""model"": ""ASystem"", ""manufacturer"": ""Jane and Graham""}, ""unique_id"": ""anode__base__cloud__outdoor__home""}"
